id,age,income,loan_amount,loan_term,credit_score,employment_status,loan_purpose,existing_loans,income_variability,loan_status
1,51,4796,23157,36,652,Unemployed,Car,1,High,0
2,54,9717,27006,36,314,Unemployed,Home,4,High,0
3,61,6516,14190,24,604,Employed,Education,2,Low,0
4,49,4493,45180,12,553,Self-Employed,Education,4,High,1
5,34,6231,23449,24,819,Unemployed,Car,4,High,0
6,56,5576,46357,36,485,Self-Employed,Car,1,High,1
7,56,10100,34678,48,686,Self-Employed,Business,3,High,1
8,35,7728,19929,48,799,Employed,Education,2,Low,0
9,28,2032,44100,24,313,Self-Employed,Education,2,Low,0
10,46,12886,12913,36,529,Unemployed,Education,2,Low,0
11,56,6373,14995,60,390,Unemployed,Home,2,Low,0
12,41,5598,31727,36,703,Employed,Car,3,High,1
13,48,4392,6946,24,804,Unemployed,Education,2,Low,1
14,24,14304,41183,36,303,Employed,Education,3,High,1
15,36,13063,6394,48,518,Unemployed,Car,1,Low,0
16,42,8705,7421,60,515,Unemployed,Car,0,High,1
17,32,8790,25303,24,458,Employed,Home,3,Low,1
18,36,4677,45113,24,672,Self-Employed,Business,2,Low,1
19,60,3401,24467,12,316,Employed,Education,1,Low,0
20,58,2817,45798,60,794,Self-Employed,Business,1,Low,0
21,62,8203,29504,24,765,Self-Employed,Car,4,Low,1
22,57,11852,15980,36,743,Employed,Business,4,High,1
23,49,6562,6844,36,380,Employed,Home,0,Low,1
24,38,6723,39572,36,465,Employed,Business,0,Low,1
25,30,4438,46849,36,656,Self-Employed,Education,4,Low,0
26,62,13175,23887,24,533,Self-Employed,Home,4,Low,1
27,59,8828,23277,48,461,Self-Employed,Car,1,Low,1
28,38,3210,42112,60,474,Self-Employed,Home,3,Low,0
29,21,8641,27975,36,662,Employed,Education,4,Low,0
30,59,2599,24449,24,675,Employed,Car,2,High,0
31,41,7480,49601,24,473,Self-Employed,Business,3,Low,1
32,21,3846,24459,36,537,Unemployed,Education,3,High,1
33,35,12047,6259,12,462,Employed,Home,2,Low,1
34,24,8592,23604,24,537,Unemployed,Home,2,High,0
35,40,9861,18859,60,531,Unemployed,Home,2,Low,1
36,30,3887,48798,60,816,Unemployed,Car,1,Low,1
37,43,2679,30362,12,535,Self-Employed,Home,4,Low,0
38,61,5252,32943,24,622,Employed,Car,4,High,0
39,54,3835,26319,12,843,Unemployed,Home,1,Low,1
40,53,14222,40215,24,706,Self-Employed,Home,3,Low,0
41,54,4177,40897,24,476,Employed,Car,1,Low,0
42,59,10142,12697,12,799,Self-Employed,Car,4,Low,1
43,30,2148,28075,48,418,Employed,Car,0,High,0
44,40,3495,36360,36,489,Employed,Education,1,Low,1
45,21,3744,33160,36,664,Self-Employed,Business,0,Low,1
46,33,3646,33735,36,785,Unemployed,Home,0,High,0
47,21,4995,36293,12,378,Employed,Education,2,Low,0
48,25,8643,8949,24,621,Employed,Business,2,Low,1
49,36,11864,15659,24,438,Unemployed,Home,2,High,0
50,35,12131,13010,60,635,Employed,Home,0,Low,1
51,48,9378,31769,24,701,Unemployed,Home,4,High,1
52,51,10849,28823,48,525,Employed,Business,2,Low,0
53,43,5667,21400,36,565,Unemployed,Home,2,Low,1
54,63,11245,45727,48,632,Employed,Education,3,High,1
55,37,14263,44009,36,523,Employed,Home,0,Low,1
56,54,2576,19787,12,819,Employed,Education,0,Low,1
